customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn (Yes=1)
7590-VHVEG,0,0,1,0,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,0
5575-GNVDE,1,0,0,0,34,1,No,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,0
3668-QPYBK,1,0,0,0,2,1,No,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,1
7795-CFOCW,1,0,0,0,45,0,No phone service,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,0
9237-HQITU,0,0,0,0,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,1
9305-CDSKC,0,0,0,0,8,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,1
1452-KIOVK,1,0,0,1,22,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,0
6713-OKOMC,0,0,0,0,10,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,0
7892-POOKP,0,0,1,0,28,1,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,1
6388-TABGU,1,0,0,1,62,1,No,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,0
9763-GRSKD,1,0,1,1,13,1,No,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,0
8091-TTVAX,1,0,1,0,58,1,Yes,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,0
0280-XJGEX,1,0,0,0,49,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,1
5129-JLPIS,1,0,0,0,25,1,No,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,0
3655-SNQYZ,0,0,1,1,69,1,Yes,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,0
9959-WOFKT,1,0,0,1,71,1,Yes,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,0
4190-MFLUW,0,0,1,1,10,1,No,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,1
4183-MYFRB,0,0,0,0,21,1,No,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,0
8779-QRDMV,1,1,0,0,1,0,No phone service,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,1
3638-WEABW,0,0,1,0,58,1,Yes,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,0
6322-HRPFA,1,0,1,1,49,1,No,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,0
6865-JZNKO,0,0,0,0,30,1,No,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,0
6467-CHFZW,1,0,1,1,47,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,1
8665-UTDHZ,1,0,1,1,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,1
5248-YGIJN,1,0,1,0,72,1,Yes,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,0
8773-HHUOZ,0,0,0,1,17,1,No,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1
3841-NFECX,0,1,1,0,71,1,Yes,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,0
4929-XIHVW,1,1,1,0,2,1,No,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,0
6827-IEAUQ,0,0,1,1,27,1,No,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,0
3413-BMNZE,1,1,0,0,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,0
6234-RAAPL,0,0,1,1,72,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,0
6047-YHPVI,1,0,0,0,5,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,1
6572-ADKRS,0,0,0,0,46,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,0
5380-WJKOV,1,0,0,0,34,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,1
